filename,doc_type,domain
policy_document_1_summit_ridge_casua.pdf,policy_document,reference
policy_document_2_harbor_mutual_insu.pdf,policy_document,reference
policy_document_3_summit_ridge_casua.pdf,policy_document,reference
endorsement_1_blue_meridian_insu.pdf,endorsement,reference
endorsement_2_harbor_mutual_insu.pdf,endorsement,reference
endorsement_3_harbor_mutual_insu.pdf,endorsement,reference
underwriting_guideline_1_vehicle_collision.pdf,underwriting_guideline,reference
underwriting_guideline_2_water_damage__plum.pdf,underwriting_guideline,reference
underwriting_guideline_3_fire.pdf,underwriting_guideline,reference
fnol_claim_form_1_vehicle_collision.pdf,fnol_claim_form,claims
fnol_claim_form_2_water_damage__plum.pdf,fnol_claim_form,claims
fnol_claim_form_3_vehicle_collision.pdf,fnol_claim_form,claims
adjuster_report_1_wind_hail.pdf,adjuster_report,claims
adjuster_report_2_water_damage__plum.pdf,adjuster_report,claims
adjuster_report_3_water_damage__plum.pdf,adjuster_report,claims
